asin,delivery,discount,image_url,original_price,page,price,prime,rating,reviews_count,sponsored,title,url
B0DR96PF63,"Sun, 16 Mar",(29% off),https://m.media-amazon.com/images/I/61TRKPzWmBL._AC_UY218_.jpg,"₹70,990",15,"₹50,300",Yes,3.9,243,Yes,"Sponsored Ad - Lenovo IdeaPad Slim 3 12th Gen Intel® Core™ i5-12450H 15.6 inch (39.6cm) FHD Laptop (16GB/512GB SSD/Windows 11/Office 2024/Alexa Built-in/1Yr ADP Free/3 Month Game Pass/Arctic Grey/1.62Kg), 83ER00KPIN",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTEyMjY1NTgyMTUzMDI6MTc0MTQxNzUzOTpzcF9hdGZfbmV4dDozMDA0NjM2ODIxMTEzMzI6OjA6Og&url=%2FLenovo-IdeaPad-i5-12450H-Windows-83ER00KPIN%2Fdp%2FB0DR96PF63%2Fref%3Dsr_1_226_sspa%3Fcrid%3D1WDCNLG2RPSXG%26dib%3DeyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1741417539%26sprefix%3Dlaptops%252Caps%252C211%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
B0BF585KKH,"Mon, 10 Mar",(27% off),https://m.media-amazon.com/images/I/61hTruiYV2L._AC_UY218_.jpg,₹799,15,₹583,Yes,3.8,"1,266",No,"Gooyo 2011A Battery Operated Educational Learning Laptop Toy with LED Display and Music Effect | Babies/Girls/Boys/Toddlers | Pink Color, Power Source: 3xAA Battery (Not Included)",https://www.amazon.in/Gooyo-Operated-Educational-Toddlers-2011A/dp/B0BF585KKH/ref=sr_1_227?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-227
B0C6KF5KX7,"Mon, 10 Mar",(59% off),https://m.media-amazon.com/images/I/71VXsHjY2mL._AC_UY218_.jpg,"₹5,999",15,"₹2,489",Yes,4.4,"6,290",No,"Vantro 200W Car Power Inverter/Laptop Charger with 3 USB (6.2A Max) & 1 C Type(1*27WPD) Smart USB Ports, 2 AC Universal Outlets and 12V DC to 220V AC with QC3.0 Model P2",https://www.amazon.in/Inverter-Charger-Universal-Outlets-Warranty/dp/B0C6KF5KX7/ref=sr_1_228?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-228
B0CP9NMKCR,"Mon, 10 Mar",(63% off),https://m.media-amazon.com/images/I/61eiM4vykhL._AC_UY218_.jpg,"₹1,599",15,₹599,Yes,4.3,"3,094",No,"Arctic Fox Pureview Transparent Wireless and Bluetooth Rechargeable Mouse, USB Receiver,LED Battery Magic Silm for Office/PC/Mac/Laptop/Apple/ipad(Space Blue)",https://www.amazon.in/Arctic-Fox-Transparent-Bluetooth-Rechargeable/dp/B0CP9NMKCR/ref=sr_1_229?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-229
B01HJI0FS2,"Mon, 10 Mar",(56% off),https://m.media-amazon.com/images/I/51a1LryFTZS._AC_UY218_.jpg,₹650,15,₹289,No,4.4,"42,724",No,"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",https://www.amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_230?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-230
B01M72LILF,"Mon, 10 Mar",(46% off),https://m.media-amazon.com/images/I/61sskFEsc0L._AC_UY218_.jpg,"₹1,295",15,₹695,Yes,4.3,"27,809",No,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Black",https://www.amazon.in/Logitech-Silent-Wireless-Mouse-Charcoal/dp/B01M72LILF/ref=sr_1_231?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-231
B0DK77T75N,"Mon, 10 Mar",(56% off),https://m.media-amazon.com/images/I/71jgtFJ+QSL._AC_UY218_.jpg,₹999,15,₹439,Yes,4.4,529,No,"DIVIJA STORE Diwija Store Foldable Wooden Mini Laptop Table for Bed, Study Table with Drawer, Tablet/Mobile Holder for Kids & Adults (Wood)",https://www.amazon.in/DIVIJA-STORE-Diwija-Foldable-Wooden/dp/B0DK77T75N/ref=sr_1_232?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-232
B01J0XWYKQ,"Mon, 10 Mar",(21% off),https://m.media-amazon.com/images/I/51uCYJqDrML._AC_UY218_.jpg,₹795,15,₹629,Yes,4.3,"77,176",No,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",https://www.amazon.in/Logitech-B170-Wireless-Mouse-Black/dp/B01J0XWYKQ/ref=sr_1_233?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-233
B09321GJXZ,"Mon, 10 Mar",(66% off),https://m.media-amazon.com/images/I/71TXLsWjccL._AC_UY218_.jpg,"₹1,499",15,₹512,Yes,4.0,"9,219",No,Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,https://www.amazon.in/BennettTM-Mystic-Briefcase-Professional-Messenger/dp/B09321GJXZ/ref=sr_1_234?crid=1WDCNLG2RPSXG&dib=eyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc&dib_tag=se&keywords=laptops&qid=1741417539&sprefix=laptops%2Caps%2C211&sr=8-234
B0DX1V4QTS,FREE delivery,N/A,https://m.media-amazon.com/images/I/71LXsEz60dL._AC_UY218_.jpg,"₹1,29,990",15,"₹1,29,990",No,N/A,0,Yes,"Sponsored Ad - ASUS Zenbook A14, Snapdragon X Elite Processor,(Qualcomm Adreno iGPU/16GB RAM/512GB SSD/Windows 11 Home/MS Office 365 Basic (1Year)*/14"" FHD+ OLED/AI PC/Zabriskie Beige/0.98 kg), UX3407RA-QD054WS",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxOTEyMjY1NTgyMTUzMDI6MTc0MTQxNzUzOTpzcF9tdGY6MzAwNDg5NTk4MTczNTMyOjowOjo&url=%2FASUS-Snapdragon-Processor-Zabriskie-UX3407RA-QD054WS%2Fdp%2FB0DX1V4QTS%2Fref%3Dsr_1_235_sspa%3Fcrid%3D1WDCNLG2RPSXG%26dib%3DeyJ2IjoiMSJ9.XNfw1aWE9e-3MSh2Z2MJtR-ZZ_HdBlNz_yzIwTh9nVnhfqL_vPXWtw8465i9HL7ORnrUCge6nN6CtQttnVx0FminO2eNkDvqY60LVJWkwLMRztOWetvlAX_b0zyhFJmSH8peFzvO8NW8lK65vQ-9TRu--6PUX6Ns4pChxAgdfLvHD1GkLLGfAa0CdoZNHOVT7_quLvEDw6e52uPCs4-Nm363uXenjEvrdocHBR7ef9A.LqG_-c9jr7gMlxMkbW8tRO0MqHfyVfWaW8K9sHwuffc%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1741417539%26sprefix%3Dlaptops%252Caps%252C211%26sr%3D8-235-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
