asin,delivery,discount,image_url,original_price,price,prime,rating,reviews_count,sponsored,title,url
B0CJ82KR2H,N/A,(29% off),https://m.media-amazon.com/images/I/41CFkPk919L._AC_UY218_.jpg,"₹9,880","₹6,999",No,3.2,163,No,HP Ink Advantage 4278 WiFi Colour Printer - Print/Scan/Copy with ADF Ideal for Home/Small Office,https://www.amazon.in/HP-Advantage-Automatic-Document-Bluetooth/dp/B0CJ82KR2H/ref=sr_1_30?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-30
B09RF89MJQ,N/A,(15% off),https://m.media-amazon.com/images/I/31ivxwrnhRL._AC_UY218_.jpg,"₹29,999","₹25,499",No,4.0,303,No,"Epson Colour Ecotank L6270 A4 Wi-Fi Duplex All-in-One Ink Tank Printer with ADF, Black",https://www.amazon.in/Epson-EcoTank-L6270-Duplex-Printer/dp/B09RF89MJQ/ref=sr_1_31?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-31
B00LO3NQYY,N/A,(15% off),https://m.media-amazon.com/images/I/61D4JNRme0L._AC_UY218_.jpg,"₹24,701","₹20,999",No,4.3,5399,No,"HP Laserjet Pro M126Nw All-in-One B&W Monochrome Printer for Home: Print, Copy, & Scan, Compact, Easy Mobile Printing, Black",https://www.amazon.in/HP-Laserjet-M126nw-All-Printer/dp/B00LO3NQYY/ref=sr_1_32?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-32
B0CJJL9PN9,N/A,(22% off),https://m.media-amazon.com/images/I/61NmsHpYgrL._AC_UY218_.jpg,"₹10,404","₹8,099",No,3.7,376,No,HP Ultra Ink Advantage 4929 WiFi Colour Printer – Print/Scan/Copy with 1 Year Warranty and Additional 2 Set of Inks.,https://www.amazon.in/HP-Advantage-Starting-44paise-Additional/dp/B0CJJL9PN9/ref=sr_1_33?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-33
B0B38N9YZS,N/A,(29% off),https://m.media-amazon.com/images/I/51GFsPDXG0L._AC_UY218_.jpg,"₹13,990","₹9,899",No,3.9,436,No,"Brother DCP-T226 Multifunction (Print Scan Copy) Ink Tank Color Printer Best for Home, 64 MB Memory, 150 Sheet Paper Tray, USB, Print Up to 7.5 K Pages in Black and 5 K in Color Each for (CMY)",https://www.amazon.in/Brother-DCP-T226-Color-Multifunction-Printer/dp/B0B38N9YZS/ref=sr_1_34?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-34
B09NDP61QT,N/A,(14% off),https://m.media-amazon.com/images/I/61gQXsMHWML._AC_UY218_.jpg,"₹23,999","₹20,699",No,4.0,931,No,"Epson Wireless Ecotank L4260 A4 Wi-Fi Duplex All-in-One Ink Tank Color LED Printers, Black",https://www.amazon.in/Epson-EcoTank-L4260-Duplex-Printer/dp/B09NDP61QT/ref=sr_1_35?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-35
B0D9KDW44J,N/A,(60% off),https://m.media-amazon.com/images/I/51w9ZYnhcBL._AC_UY218_.jpg,"₹1,999",₹799,No,3.8,13,No,"BANSAL Mini Pocket Printer, Gifts for Kids, Portable Thermal Printer for Pictures/Retro-Style Photos/Receipts/Notes/Lists/Label/Memo/QR Codes,Bluetooth Wireless Smart Printer",https://www.amazon.in/BANSAL-Portable-Pictures-Retro-Style-Bluetooth/dp/B0D9KDW44J/ref=sr_1_36?crid=TINXTBF0YKTM&dib=eyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk&dib_tag=se&keywords=printer&qid=1741419555&sprefix=printer%2Caps%2C240&sr=8-36
B0BY92Z97S,N/A,(31% off),https://m.media-amazon.com/images/I/51Z5yT00luL._AC_UY218_.jpg,"₹20,270","₹13,999",No,3.9,371,Yes,Canon PIXMA MegaTank G3770 BK All-in-one WiFi Inktank Colour Printer for Home & Office with 1 Year Additional Warranty on Product Registration,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Nzk2MDI3MTQ0MzY4NTI6MTc0MTQxOTU1NTpzcF9idGY6MzAwMTMzMDU4NzM5OTMyOjowOjo&url=%2FCanon-G3770-Inktank-Blaupunkt-Redemption%2Fdp%2FB0BY92Z97S%2Fref%3Dsr_1_37_sspa%3Fcrid%3DTINXTBF0YKTM%26dib%3DeyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk%26dib_tag%3Dse%26keywords%3Dprinter%26qid%3D1741419555%26sprefix%3Dprinter%252Caps%252C240%26sr%3D8-37-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
B0CJ7GLV97,N/A,(29% off),https://m.media-amazon.com/images/I/61oVMkLlMUL._AC_UY218_.jpg,"₹7,071","₹4,999",No,3.2,344,Yes,HP Deskjet 2820 WiFi Colour Printer - Print/Scan/Copy Ideal for Home,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Nzk2MDI3MTQ0MzY4NTI6MTc0MTQxOTU1NTpzcF9idGY6MzAwMzI1MTA4ODYwMDMyOjowOjo&url=%2FHP-Deskjet-Printer-Bluetooth-Simple%2Fdp%2FB0CJ7GLV97%2Fref%3Dsr_1_38_sspa%3Fcrid%3DTINXTBF0YKTM%26dib%3DeyJ2IjoiMSJ9.EeXxjyjwYWFsuoHPEbcpTjkp4FIolPfiOXBIY0i4y8VXhwZlQfNU05yIThldvH0AncAzHWIndy--5sbFTFmL03aepss_QGonyqzPSnWHRH1_YclsKD3RCk4F5cNmomSd0MXlfFfSg96lFc9yVs1exorPmRs3AFvwxhpDBAjAh3Q1ZmBUfNQ5bSPr_8d8_IvuDRvC2u292SEl1AewE-Do9sb4JKw02x6387bPC9PD8po.SJGj43WJMG7R-Q8qNRnrKVIPJjXz_c5OYLpsozMumVk%26dib_tag%3Dse%26keywords%3Dprinter%26qid%3D1741419555%26sprefix%3Dprinter%252Caps%252C240%26sr%3D8-38-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
B0BN1S41VH,N/A,(26% off),https://m.media-amazon.com/images/I/61LJaZbz3cL._AC_UY218_.jpg,"₹18,848","₹13,999",No,3.9,903,Yes,"HP Smart Tank 580 Aio WiFi Colour Wireless Solid Ink Printers with 1 Extra Black Ink Bottle (Upto 8000 Black & 6000 Colour Prints) + 1 Year Extended Warranty with PHA Coverage -Print, Scan & Copy",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMDAxMTU2NjMxMzcyMjcxOjE3NDE0MTk1NTg6c3BfYXRmX25leHQ6MzAwMDUwMjM2MzgxNDMyOjowOjo&url=%2FHP-Printer-Extended-Warranty-coverage-Print%2Fdp%2FB0BN1S41VH%2Fref%3Dsr_1_33_sspa%3Fcrid%3DTINXTBF0YKTM%26dib%3DeyJ2IjoiMSJ9.Uqnvz5j6A7oS83cBNLEjn1P-co55P9K_-Wdcvfk9LdG5vM00x7-hG8K-RmTzevnninQyGLDhbpAAsVhYlWML4PnYa_Ug_brazoDNXnkjv4-VySDgrmyQZwqhZAk8Tii4KBAvTCe-EtXWZCh68183Gz09BmS6Q2gGyPtjoGu5BvVlU-813Z4v9uiMjyEz1wshdJdzlJ7lHe1PmIrVHMKYu47sSoONrrouPXhCbv5oauQ.FXRYELsIXDhZrOOu3ieohj1hDjNsySkXtYm5r3ontnc%26dib_tag%3Dse%26keywords%3Dprinter%26qid%3D1741419558%26sprefix%3Dprinter%252Caps%252C240%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
